items,support,ordered_statistics,length
"frozenset({'아이', '인증'})",0.0024550153139356813,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'아이', '인증'}), confidence=0.0024550153139356813, lift=1.0), OrderedStatistic(items_base=frozenset({'아이'}), items_add=frozenset({'인증'}), confidence=0.12421307506053267, lift=1.418336839598301), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'아이'}), confidence=0.0280327868852459, lift=1.418336839598301)]",2
"frozenset({'월드', '롯데'})",0.0024071592649310873,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'월드', '롯데'}), confidence=0.0024071592649310873, lift=1.0), OrderedStatistic(items_base=frozenset({'롯데'}), items_add=frozenset({'월드'}), confidence=0.823240589198036, lift=262.0325263043741), OrderedStatistic(items_base=frozenset({'월드'}), items_add=frozenset({'롯데'}), confidence=0.7661843107387661, lift=262.0325263043741)]",2
"frozenset({'완료', '인증'})",0.0020578101071975496,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'완료', '인증'}), confidence=0.0020578101071975496, lift=1.0), OrderedStatistic(items_base=frozenset({'완료'}), items_add=frozenset({'인증'}), confidence=0.1005260081823495, lift=1.1478641896056694), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'완료'}), confidence=0.02349726775956284, lift=1.1478641896056694)]",2
"frozenset({'구매', '매'})",0.0019860260336906584,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '매'}), confidence=0.0019860260336906584, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'매'}), confidence=0.01828838357130266, lift=5.7080517267504165), OrderedStatistic(items_base=frozenset({'매'}), items_add=frozenset({'구매'}), confidence=0.619865571321882, lift=5.708051726750417)]",2
"frozenset({'필드', '아쿠아'})",0.001957312404287902,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'필드', '아쿠아'}), confidence=0.001957312404287902, lift=1.0), OrderedStatistic(items_base=frozenset({'아쿠아'}), items_add=frozenset({'필드'}), confidence=0.6949872557349193, lift=300.0506961949767), OrderedStatistic(items_base=frozenset({'필드'}), items_add=frozenset({'아쿠아'}), confidence=0.8450413223140496, lift=300.0506961949767)]",2
"frozenset({'번', '구매'})",0.0018879211332312404,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'번', '구매'}), confidence=0.0018879211332312404, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'번'}), confidence=0.017384981491274456, lift=1.627947897117056), OrderedStatistic(items_base=frozenset({'번'}), items_add=frozenset({'구매'}), confidence=0.17678691463141383, lift=1.6279478971170558)]",2
"frozenset({'대박', '가격'})",0.0018328866768759571,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'대박', '가격'}), confidence=0.0018328866768759571, lift=1.0), OrderedStatistic(items_base=frozenset({'가격'}), items_add=frozenset({'대박'}), confidence=0.06369003076411407, lift=2.020904840705987), OrderedStatistic(items_base=frozenset({'대박'}), items_add=frozenset({'가격'}), confidence=0.05815807455774049, lift=2.020904840705987)]",2
"frozenset({'구매', '당첨'})",0.0017706738131699846,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '당첨'}), confidence=0.0017706738131699846, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'당첨'}), confidence=0.016305305834655386, lift=1.6220693678693594), OrderedStatistic(items_base=frozenset({'당첨'}), items_add=frozenset({'구매'}), confidence=0.17614853606284217, lift=1.6220693678693592)]",2
"frozenset({'가족', '인증'})",0.001768281010719755,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가족', '인증'}), confidence=0.001768281010719755, lift=1.0), OrderedStatistic(items_base=frozenset({'가족'}), items_add=frozenset({'인증'}), confidence=0.14335596508244422, lift=1.6369214460998658), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'가족'}), confidence=0.020191256830601093, lift=1.6369214460998658)]",2
"frozenset({'오늘', '방송'})",0.001741960183767228,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'오늘', '방송'}), confidence=0.001741960183767228, lift=1.0), OrderedStatistic(items_base=frozenset({'방송'}), items_add=frozenset({'오늘'}), confidence=0.09523809523809525, lift=9.418339981520296), OrderedStatistic(items_base=frozenset({'오늘'}), items_add=frozenset({'방송'}), confidence=0.1722669190724089, lift=9.418339981520296)]",2
"frozenset({'구매', '가요'})",0.0017395673813169984,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '가요'}), confidence=0.0017395673813169984, lift=1.0), OrderedStatistic(items_base=frozenset({'가요'}), items_add=frozenset({'구매'}), confidence=0.16997895721299974, lift=1.5652566058182806), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'가요'}), confidence=0.016018861272695223, lift=1.5652566058182809)]",2
"frozenset({'가족', '여행'})",0.0017299961715160797,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가족', '여행'}), confidence=0.0017299961715160797, lift=1.0), OrderedStatistic(items_base=frozenset({'가족'}), items_add=frozenset({'여행'}), confidence=0.1402521823472357, lift=10.043555868155712), OrderedStatistic(items_base=frozenset({'여행'}), items_add=frozenset({'가족'}), confidence=0.12388622344071282, lift=10.043555868155712)]",2
"frozenset({'라이브', '구매'})",0.0016869257274119448,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'라이브', '구매'}), confidence=0.0016869257274119448, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'라이브'}), confidence=0.015534108937070332, lift=1.409469128740867), OrderedStatistic(items_base=frozenset({'라이브'}), items_add=frozenset({'구매'}), confidence=0.1530612244897959, lift=1.4094691287408667)]",2
"frozenset({'가격', '혜택'})",0.0016845329249617152,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'가격', '혜택'}), confidence=0.0016845329249617152, lift=1.0), OrderedStatistic(items_base=frozenset({'가격'}), items_add=frozenset({'혜택'}), confidence=0.058534962999916854, lift=2.4341225608880848), OrderedStatistic(items_base=frozenset({'혜택'}), items_add=frozenset({'가격'}), confidence=0.0700497512437811, lift=2.4341225608880848)]",2
"frozenset({'개', '구매'})",0.0016725689127105666,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'개', '구매'}), confidence=0.0016725689127105666, lift=1.0), OrderedStatistic(items_base=frozenset({'개'}), items_add=frozenset({'구매'}), confidence=0.3389912706110572, lift=3.121611841480985), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'개'}), confidence=0.01540190375462718, lift=3.121611841480985)]",2
"frozenset({'장', '인증'})",0.0016725689127105666,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'장', '인증'}), confidence=0.0016725689127105666, lift=1.0), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'장'}), confidence=0.019098360655737705, lift=2.705622672964713), OrderedStatistic(items_base=frozenset({'장'}), items_add=frozenset({'인증'}), confidence=0.2369491525423729, lift=2.7056226729647124)]",2
"frozenset({'인증', '당첨'})",0.0016582120980091883,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'인증', '당첨'}), confidence=0.0016582120980091883, lift=1.0), OrderedStatistic(items_base=frozenset({'당첨'}), items_add=frozenset({'인증'}), confidence=0.16496072363722922, lift=1.8836170935101322), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'당첨'}), confidence=0.018934426229508194, lift=1.883617093510132)]",2
"frozenset({'주문', '인증'})",0.001636676875957121,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'주문', '인증'}), confidence=0.001636676875957121, lift=1.0), OrderedStatistic(items_base=frozenset({'인증'}), items_add=frozenset({'주문'}), confidence=0.018688524590163933, lift=2.50732205352209), OrderedStatistic(items_base=frozenset({'주문'}), items_add=frozenset({'인증'}), confidence=0.21958266452648476, lift=2.5073220535220906)]",2
"frozenset({'구매', '방송'})",0.001619927258805513,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'구매', '방송'}), confidence=0.001619927258805513, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'방송'}), confidence=0.014917151419002291, lift=0.815564615519288), OrderedStatistic(items_base=frozenset({'방송'}), items_add=frozenset({'구매'}), confidence=0.08856619570905286, lift=0.815564615519288)]",2
"frozenset({'기대', '구매'})",0.0016079632465543644,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'기대', '구매'}), confidence=0.0016079632465543644, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'기대'}), confidence=0.014806980433632997, lift=0.629899558512205), OrderedStatistic(items_base=frozenset({'기대'}), items_add=frozenset({'구매'}), confidence=0.06840390879478828, lift=0.629899558512205)]",2
"frozenset({'요', '구매'})",0.0016055704441041347,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'요', '구매'}), confidence=0.0016055704441041347, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'요'}), confidence=0.014784946236559139, lift=0.4978988502161801), OrderedStatistic(items_base=frozenset({'요'}), items_add=frozenset({'구매'}), confidence=0.05406929895245769, lift=0.4978988502161801)]",2
"frozenset({'바로', '구매'})",0.001595999234303216,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'바로', '구매'}), confidence=0.001595999234303216, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'바로'}), confidence=0.014696809448263706, lift=2.878205531686208), OrderedStatistic(items_base=frozenset({'바로'}), items_add=frozenset({'구매'}), confidence=0.3125585754451734, lift=2.878205531686208)]",2
"frozenset({'라이브', '방송'})",0.0015936064318529861,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'라이브', '방송'}), confidence=0.0015936064318529861, lift=1.0), OrderedStatistic(items_base=frozenset({'라이브'}), items_add=frozenset({'방송'}), confidence=0.1445940078158923, lift=7.905380395920685), OrderedStatistic(items_base=frozenset({'방송'}), items_add=frozenset({'라이브'}), confidence=0.08712715855572999, lift=7.905380395920685)]",2
"frozenset({'이번', '구매'})",0.0015361791730474732,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'이번', '구매'}), confidence=0.0015361791730474732, lift=1.0), OrderedStatistic(items_base=frozenset({'구매'}), items_add=frozenset({'이번'}), confidence=0.014145954521417238, lift=2.1798957645983377), OrderedStatistic(items_base=frozenset({'이번'}), items_add=frozenset({'구매'}), confidence=0.23672566371681417, lift=2.179895764598338)]",2
